Name,Score,Genres,Type,Episodes,Aired,Premiered,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch
Chiruran: Nibun no Ichi,5.67,"Action, Comedy, Historical",TV,12,"Jan 10, 2017 to Mar 28, 2017",Winter 2017,LandQ studios,Manga,2 min. per ep.,G - All Ages,9230.0,5728,6799,7,411,3540,177,826,1845
Gintama.,8.99,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,12,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,Bandai Namco Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older,12.0,730,201735,2397,11770,115105,3388,2273,69199
Sakurada Reset,7.37,"Mystery, Super Power, Supernatural, School",TV,24,"Apr 5, 2017 to Sep 13, 2017",Spring 2017,David Production,Light novel,25 min. per ep.,PG-13 - Teens 13 or older,2014.0,1229,119064,493,12877,33611,7969,15970,48637
Knight's & Magic,7.13,"Action, Fantasy, Mecha, School",TV,13,"Jul 2, 2017 to Sep 24, 2017",Summer 2017,8bit,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,3094.0,840,178518,754,14177,116155,4249,10883,33054
Kyoukai no Rinne (TV) 3rd Season,7.07,"Comedy, Supernatural, Romance, School, Shounen",TV,25,"Apr 8, 2017 to Sep 23, 2017",Spring 2017,Brain's Base,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3337.0,3756,18691,19,1643,7924,814,692,7618
Rewrite 2nd Season,7.26,"Action, Military, Comedy, Supernatural, Romance, Fantasy",TV,11,"Jan 14, 2017 to Mar 25, 2017",Winter 2017,8bit,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,2543.0,1512,91071,424,5344,54425,2596,3442,25264
One Punch Man 2nd Season,7.41,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",TV,12,"Apr 10, 2019 to Jul 3, 2019",Spring 2019,J.C.Staff,Web manga,23 min. per ep.,R - 17+ (violence & profanity),1874.0,70,994488,5937,61959,666395,12925,19642,233567
Nyanko Days,6.61,"Slice of Life, Comedy",TV,12,"Jan 8, 2017 to Mar 26, 2017",Winter 2017,EMT Squared,4-koma manga,2 min. per ep.,PG-13 - Teens 13 or older,5329.0,2108,55668,132,3242,34779,1080,2035,14532
Zero kara Hajimeru Mahou no Sho,7.1,"Action, Adventure, Magic, Fantasy",TV,12,"Apr 10, 2017 to Jun 26, 2017",Spring 2017,White Fox,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,3226.0,731,201601,563,15046,121613,5794,10504,48644
Tenshi no 3P!,6.66,"Music, School, Slice of Life",TV,12,"Jul 10, 2017 to Sep 25, 2017",Summer 2017,Project No.9,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,5106.0,2261,49863,77,4293,22182,1631,3653,18104
Meiji Tokyo Renka,6.93,"Harem, Historical, Supernatural, Romance, Shoujo",TV,12,"Jan 9, 2019 to Mar 27, 2019",Winter 2019,TMS Entertainment,Visual novel,23 min. per ep.,PG-13 - Teens 13 or older,3913.0,2869,31953,196,2799,14780,931,2271,11172
Cinderella Girls Gekijou,6.54,"Comedy, Slice of Life",TV,13,"Apr 4, 2017 to Jun 27, 2017",Spring 2017,"Gathering, Lesprit",4-koma manga,3 min. per ep.,PG-13 - Teens 13 or older,5663.0,4175,14954,30,938,6424,424,665,6503
Oushitsu Kyoushi Heine,7.47,"Slice of Life, Comedy, Historical, Shounen",TV,12,"Apr 5, 2017 to Jun 21, 2017",Spring 2017,Bridge,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1682.0,1361,102935,719,8113,59408,3363,6511,25540
Grancrest Senki,7.25,"Action, Drama, Fantasy, Romance",TV,24,"Jan 6, 2018 to Jun 23, 2018",Winter 2018,A-1 Pictures,Light novel,23 min. per ep.,R - 17+ (violence & profanity),2571.0,698,211902,952,27491,100552,9308,18755,55796
Gamers!,6.92,"Game, Comedy, Romance, School",TV,12,"Jul 13, 2017 to Sep 28, 2017",Summer 2017,Pine Jam,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,3925.0,283,455313,1860,28514,313233,10319,20736,82511
High School DxD Hero,7.28,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,"Apr 17, 2018 to Jul 3, 2018",Spring 2018,Passione,Light novel,23 min. per ep.,R+ - Mild Nudity,2420.0,453,309467,2264,22899,202846,7545,11680,64497
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,7.64,"Slice of Life, Drama, Magic, Fantasy",TV,6,"Oct 7, 2017 to Nov 11, 2017",Fall 2017,Studio Gokumi,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,1187.0,2831,32995,158,1825,14852,805,881,14632
Schoolgirl Strikers: Animation Channel,5.72,"Action, Sci-Fi, School",TV,13,"Jan 7, 2017 to Apr 1, 2017",Winter 2017,J.C.Staff,Game,24 min. per ep.,PG-13 - Teens 13 or older,9084.0,3867,17698,23,1688,5081,766,3322,6841
Kirakira☆Precure A La Mode,6.92,"Action, Fantasy, Magic, Shoujo, Slice of Life",TV,49,"Feb 5, 2017 to Jan 28, 2018",Winter 2017,Toei Animation,Original,24 min. per ep.,G - All Ages,3938.0,5316,8201,98,1284,2780,654,627,2856
Kamigami no Ki,5.97,"Comedy, Historical, Supernatural",TV,17,"Nov 25, 2016 to Apr 28, 2017",Fall 2016,Sotsu,Original,2 min. per ep.,PG - Children,8322.0,11392,674,2,66,138,26,116,328
Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,6.11,"Slice of Life, Comedy",TV,12,"Jan 3, 2017 to Mar 21, 2017",Winter 2017,Seven,4-koma manga,3 min. per ep.,PG-13 - Teens 13 or older,7760.0,5268,8328,15,549,4797,241,524,2217
Hulaing Babies,5.88,"Slice of Life, Comedy",TV,12,"Jan 11, 2019 to Mar 29, 2019",Winter 2019,Gaina,Original,5 min. per ep.,PG-13 - Teens 13 or older,8583.0,7568,3303,3,228,1216,111,452,1296
Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,6.26,"Historical, Romance",TV,12,"Jul 12, 2017 to Sep 27, 2017",Summer 2017,"TMS Entertainment, Jinnis Animation Studios",Game,3 min. per ep.,PG-13 - Teens 13 or older,7089.0,5579,7265,47,509,3600,199,785,2172
Lost Song,7.01,"Drama, Fantasy",TV,12,"Apr 8, 2018 to Jun 16, 2018",Spring 2018,"Dwango, LIDENFILMS",Original,23 min. per ep.,PG-13 - Teens 13 or older,3622.0,2913,31031,164,1654,16807,700,1471,10399
Alice to Zouroku,7.12,"Adventure, Mystery, Seinen",TV,12,"Apr 2, 2017 to Jun 25, 2017",Spring 2017,J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3116.0,1410,98291,204,8313,45954,5480,10652,27892
Vatican Kiseki Chousakan,6.39,"Mystery, Supernatural, Drama",TV,12,"Jul 7, 2017 to Sep 22, 2017",Summer 2017,J.C.Staff,Novel,24 min. per ep.,R - 17+ (violence & profanity),6449.0,2520,40746,81,3441,15455,1768,6799,13283
Citrus,6.51,"Drama, Romance, School, Shoujo Ai",TV,12,"Jan 6, 2018 to Mar 24, 2018",Winter 2018,Passione,Manga,23 min. per ep.,PG-13 - Teens 13 or older,5848.0,398,340760,3861,29452,197345,10886,30291,72786
Netsuzou TRap,5.37,"Drama, Romance, Shoujo Ai",TV,12,"Jul 5, 2017 to Sep 20, 2017",Summer 2017,Creators in Pack,Manga,9 min. per ep.,R+ - Mild Nudity,9999.0,1271,113804,260,7738,57692,2782,12323,33269
One Room,5.57,Slice of Life,TV,12,"Jan 11, 2017 to Mar 29, 2017",Winter 2017,Typhoon Graphics,Original,4 min. per ep.,PG-13 - Teens 13 or older,9501.0,1539,89779,133,5872,42375,2056,7124,32352
Room Mate,4.76,"Harem, Slice of Life",TV,12,"Apr 12, 2017 to Jun 28, 2017",Spring 2017,Typhoon Graphics,Original,4 min. per ep.,PG-13 - Teens 13 or older,10802.0,3626,20516,39,1287,9351,526,2709,6643
Love Kome: We Love Rice,4.64,Slice of Life,TV,12,"Apr 5, 2017 to Jun 21, 2017",Spring 2017,Encourage Films,Original,4 min. per ep.,PG-13 - Teens 13 or older,10877.0,5015,9458,9,628,3836,294,1949,2751
Hajimete no Gal,6.31,"Comedy, Ecchi, Romance, School, Shounen",TV,10,"Jul 12, 2017 to Sep 13, 2017",Summer 2017,NAZ,Manga,23 min. per ep.,R+ - Mild Nudity,6827.0,412,332807,1129,20728,224909,6179,22434,58557
Taishou Mebiusline: Chicchai-san,4.73,"Historical, Supernatural",TV,12,"Oct 6, 2017 to Dec 22, 2017",Fall 2017,Studio A-CAT,Visual novel,3 min. per ep.,PG-13 - Teens 13 or older,10820.0,4821,10486,22,909,3782,336,1623,3836
Frame Arms Girl,6.42,"Action, Sci-Fi, Slice of Life, Mecha",TV,12,"Apr 4, 2017 to Jun 20, 2017",Spring 2017,"Zexcs, Studio A-CAT",Other,23 min. per ep.,PG-13 - Teens 13 or older,6302.0,3053,28488,50,2792,10507,1247,3888,10054
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,7.65,"Drama, Fantasy, Magic, Slice of Life",TV,6,"Nov 25, 2017 to Jan 6, 2018",Fall 2017,Studio Gokumi,Original,24 min. per ep.,PG-13 - Teens 13 or older,1165.0,2972,30160,199,1156,14345,487,367,13805
