Name,Score,Genres,Type,Episodes,Aired,Premiered,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch
Galaxy Angel Z,7.18,"Sci-Fi, Comedy",TV,9,"Feb 3, 2002 to Mar 31, 2002",Winter 2002,Madhouse,Original,24 min. per ep.,PG - Children,2845.0,5155,8784,11,191,5996,233,206,2158
Galaxy Angel 3,7.31,"Comedy, Sci-Fi",TV,26,"Oct 6, 2002 to Mar 31, 2003",Fall 2002,Madhouse,Original,24 min. per ep.,PG - Children,2289.0,5310,8186,22,240,5251,295,220,2180
Galaxy Angel 4,7.22,"Comedy, Sci-Fi",TV,13,"Jul 7, 2004 to Sep 29, 2004",Summer 2004,"Madhouse, feel.",Game,24 min. per ep.,PG - Children,2698.0,5731,6813,11,184,4029,196,166,2238
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,7.94,"Game, Psychological, Thriller, Seinen",TV,26,"Oct 5, 2005 to Mar 29, 2006",Fall 2005,Madhouse,Manga,23 min. per ep.,R - 17+ (violence & profanity),629.0,1631,81739,1041,4061,42335,3591,2609,29143
Kashimashi: Girl Meets Girl,6.67,"Comedy, Drama, Romance, School, Shoujo Ai, Slice of Life",TV,12,"Jan 12, 2006 to Mar 30, 2006",Winter 2006,Studio Hibari,Manga,24 min. per ep.,PG-13 - Teens 13 or older,5054.0,2436,43400,186,1686,25767,1582,2447,11918
Koi Koi 7,5.81,"Comedy, Harem, Romance",TV,13,"Apr 2, 2005 to Jun 25, 2005",Spring 2005,Studio Flag,Manga,25 min. per ep.,R+ - Mild Nudity,8809.0,4273,14063,18,835,6632,653,1249,4694
Lamune,6.83,"Drama, Romance, Slice of Life",TV,12,"Oct 11, 2005 to Dec 27, 2005",Fall 2005,"Trinet Entertainment, Picture Magic",Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,4331.0,2643,37315,73,1424,21386,1197,1772,11536
Sentimental Journey,6.36,"Drama, Romance, Shoujo",TV,12,"Apr 8, 1998 to Jul 1, 1998",Spring 1998,Sunrise,Original,20 min. per ep.,PG-13 - Teens 13 or older,6619.0,8364,2438,3,137,770,108,129,1294
Otogi Story Tenshi no Shippo,6.56,"Fantasy, Magic, Comedy, Harem, Romance",TV,12,"Oct 4, 2001 to Dec 20, 2001",Fall 2001,Tokyo Kids,Original,22 min. per ep.,PG-13 - Teens 13 or older,5578.0,4416,12885,30,574,6968,494,711,4138
To Heart: Remember My Memories,6.44,"Drama, Harem, Romance, School, Sci-Fi, Slice of Life",TV,13,"Oct 2, 2004 to Dec 25, 2004",Fall 2004,"OLM, AIC ASTA",Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,6241.0,5409,7779,6,259,4162,243,301,2814
Tokyo Mew Mew,6.99,"Sci-Fi, Comedy, Magic, Romance, Fantasy, Shoujo",TV,52,"Apr 6, 2002 to Mar 29, 2003",Spring 2002,Studio Pierrot,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3669.0,1251,115993,1418,5203,74793,6636,9646,19715
Uta∽Kata,6.72,"Psychological, Drama, Magic",TV,12,"Oct 3, 2004 to Dec 19, 2004",Fall 2004,Hal Film Maker,Original,23 min. per ep.,PG-13 - Teens 13 or older,4827.0,3495,22015,68,730,10560,759,1003,8963
Kyuuketsuhime Miyu (TV),7.15,"Action, Horror, Demons, Drama, Vampire, Shoujo",TV,26,"Oct 6, 1997 to Mar 30, 1998",Fall 1997,AIC,Manga,25 min. per ep.,R - 17+ (violence & profanity),2998.0,2873,31840,188,1794,12090,2049,1963,13944
Yawara!,7.48,"Action, Comedy, Drama, Martial Arts, Romance, Slice of Life, Sports",TV,124,"Oct 16, 1989 to Sep 21, 1992",Fall 1989,Madhouse,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1656.0,4184,14846,82,1256,2961,1190,778,8661
Burn Up Scramble,6.19,"Action, Comedy, Drama, Ecchi, Police, Sci-Fi, Shounen",TV,12,"Jan 12, 2004 to Mar 29, 2004",Winter 2004,AIC,Original,24 min. per ep.,R - 17+ (violence & profanity),7409.0,5313,8191,2,368,3946,325,401,3151
Canvas 2: Niji-iro no Sketch,6.78,"Comedy, Drama, Romance, Slice of Life",TV,24,"Oct 2, 2005 to Mar 26, 2006",Fall 2005,Zexcs,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,4517.0,3325,24394,51,1033,13620,987,1153,7601
Tenchi Muyou!,7.44,"Comedy, Harem, Romance, Sci-Fi, Shounen, Space",TV,26,"Apr 2, 1995 to Sep 24, 1995",Spring 1995,AIC,Original,23 min. per ep.,PG-13 - Teens 13 or older,1762.0,1955,62599,602,2565,39890,2093,1986,16065
Comic Party Revolution,6.52,"Comedy, Drama",TV,13,"Apr 4, 2005 to Jun 27, 2005",Spring 2005,"Radix, Chaos Project",Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,5769.0,5231,8495,7,285,4751,399,444,2616
Patapata Hikousen no Bouken,7.57,"Adventure, Sci-Fi",TV,26,"Jan 5, 2002 to Jun 29, 2002",Winter 2002,Telecom Animation Film,Novel,24 min. per ep.,PG-13 - Teens 13 or older,1372.0,6021,6005,54,259,2361,226,210,2949
Mujin Wakusei Survive,7.71,"Action, Adventure, Fantasy, Sci-Fi, Slice of Life",TV,52,"Oct 16, 2003 to Oct 28, 2004",Fall 2003,"Madhouse, Telecom Animation Film",Original,25 min. per ep.,G - All Ages,1012.0,3417,22946,257,1187,9800,1071,933,9955
Rec,7.34,"Comedy, Drama, Romance, Seinen",TV,9,"Feb 3, 2006 to Mar 31, 2006",Winter 2006,Shaft,Manga,13 min. per ep.,PG-13 - Teens 13 or older,2173.0,1403,98911,317,2521,65502,2021,2075,26792
Yume de Aetara (TV),6.46,"Comedy, Drama, Romance, Seinen, Slice of Life",TV,16,"Nov 30, 1998 to Dec 24, 1998",Fall 1998,J.C.Staff,Manga,7 min. per ep.,R+ - Mild Nudity,6095.0,6029,5971,7,246,3088,183,239,2215
Princess Tutu,8.15,"Comedy, Drama, Fantasy, Magic, Mystery, Romance",TV,38,"Aug 16, 2002 to May 23, 2003",Summer 2002,Hal Film Maker,Original,16 min. per ep.,PG-13 - Teens 13 or older,368.0,1138,129950,4426,6385,63089,7069,5026,48381
Hiatari Ryoukou!,7.09,"Comedy, Romance, School, Shoujo, Sports",TV,48,"Mar 29, 1987 to Mar 20, 1988",Spring 1987,Group TAC,Manga,25 min. per ep.,PG-13 - Teens 13 or older,3259.0,7385,3571,10,263,798,252,213,2045
MÄR,7.28,"Action, Adventure, Comedy, Fantasy, Shounen",TV,102,"Apr 3, 2005 to Mar 25, 2007",Spring 2005,SynergySP,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2455.0,2427,43615,281,3490,19097,4871,5058,11099
Bishoujo Senshi Sailor Moon R,7.69,"Demons, Magic, Romance, Shoujo",TV,43,"Mar 6, 1993 to Mar 12, 1994",Spring 1993,Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1051.0,1213,120962,849,5165,96739,3391,1828,13839
Trouble Chocolate,6.54,"Comedy, Romance, Sci-Fi, Shounen",TV,20,"Oct 8, 1999 to Mar 24, 2000",Fall 1999,AIC,Radio,25 min. per ep.,G - All Ages,5709.0,6797,4433,20,270,1891,246,371,1655
Binchou-tan,6.92,"Slice of Life, Comedy",TV,12,"Feb 2, 2006 to Apr 15, 2006",Winter 2006,Studio Deen,Manga,12 min. per ep.,G - All Ages,3937.0,5023,9440,60,368,4522,410,639,3501
Bomberman Jetters,6.87,"Action, Sci-Fi, Adventure, Comedy",TV,52,"Oct 2, 2002 to Sep 24, 2003",Fall 2002,Studio Deen,Game,23 min. per ep.,G - All Ages,4157.0,7508,3387,43,181,1445,185,326,1250
Yuki no Joou (TV),7.03,"Adventure, Drama, Fantasy, Shoujo",TV,36,"May 22, 2005 to Feb 12, 2006",Spring 2005,TMS Entertainment,Book,25 min. per ep.,PG - Children,3527.0,7453,3509,16,230,724,313,247,1995
Ginyuu Mokushiroku Meine Liebe Wieder,6.69,"Drama, Fantasy, Shoujo",TV,13,"Jan 22, 2006 to Apr 13, 2006",Winter 2006,Bee Train,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,4963.0,5849,6482,14,219,2762,271,267,2963
Nanaka 6/17,6.61,"Slice of Life, Comedy, Drama, Romance, Shounen",TV,12,"Jan 9, 2003 to Mar 27, 2003",Winter 2003,J.C.Staff,Manga,25 min. per ep.,PG-13 - Teens 13 or older,5351.0,5409,7842,15,318,4216,341,488,2479
Gasaraki,6.66,"Psychological, Mecha, Military, Supernatural, Drama",TV,25,"Oct 4, 1998 to Mar 28, 1999",Fall 1998,Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,5082.0,3876,17612,41,889,5726,935,1087,8975
Miami Guns,6.47,"Comedy, Ecchi, Police, Shounen",TV,13,"Feb 5, 2000 to May 20, 2000",Winter 2000,Group TAC,Manga,23 min. per ep.,R - 17+ (violence & profanity),6070.0,6476,4973,14,261,1965,202,363,2182
Shinigami no Ballad.,6.93,"Drama, Fantasy, Psychological, Supernatural",TV,6,"Mar 3, 2006 to Apr 7, 2006",Spring 2006,"Group TAC, Ginga Ya",Light novel,25 min. per ep.,PG-13 - Teens 13 or older,3879.0,2492,41384,95,1364,22476,1465,1761,14318
Ergo Proxy,7.92,"Psychological, Mystery, Sci-Fi",TV,23,"Feb 25, 2006 to Aug 12, 2006",Winter 2006,Manglobe,Original,25 min. per ep.,R - 17+ (violence & profanity),651.0,249,478552,11039,28651,213453,26468,18804,191176
Oniisama e...,7.79,"Psychological, Drama, School, Shoujo, Shoujo Ai",TV,39,"Jul 14, 1991 to May 31, 1992",Summer 1991,Tezuka Productions,Manga,25 min. per ep.,PG-13 - Teens 13 or older,832.0,3031,28971,622,1922,7539,1307,987,17216
Yomigaeru Sora: Rescue Wings,7.42,"Drama, Military, Seinen",TV,12,"Jan 9, 2006 to Mar 27, 2006",Winter 2006,J.C.Staff,Original,23 min. per ep.,PG-13 - Teens 13 or older,1850.0,4618,11676,35,452,4440,393,405,5986
Kokoro Toshokan,6.48,"Comedy, Drama, Slice of Life",TV,13,"Oct 12, 2001 to Feb 17, 2002",Fall 2001,Studio Deen,Manga,24 min. per ep.,PG - Children,5991.0,6289,5362,17,208,2079,242,407,2426
NieA Under 7,6.85,"Comedy, Sci-Fi, Slice of Life",TV,13,"Apr 26, 2000 to Jul 19, 2000",Spring 2000,Triangle Staff,Original,23 min. per ep.,PG-13 - Teens 13 or older,4214.0,3083,28038,116,1124,10125,1110,1197,14482
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.54,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen",TV,26,"Jan 1, 2004 to Jan 8, 2005",Winter 2004,Production I.G,Manga,25 min. per ep.,R - 17+ (violence & profanity),88.0,778,191690,3021,7242,115405,5597,2104,61342
Android Ana Maico 2010,6.44,"Comedy, Drama, Sci-Fi, Seinen",TV,24,"Apr 6, 1998 to Sep 28, 1998",Spring 1998,"Group TAC, Animaruya",Manga,14 min. per ep.,PG-13 - Teens 13 or older,6197.0,7925,2867,3,120,1140,152,238,1217
Chikyuu Shoujo Arjuna,6.83,"Adventure, Drama, Magic, Sci-Fi",TV,13,"Jan 9, 2001 to Mar 27, 2001",Winter 2001,Satelight,Original,26 min. per ep.,PG-13 - Teens 13 or older,4321.0,3194,26398,179,989,11734,1059,1541,11075
Dragon Ball Z,8.16,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,"Apr 26, 1989 to Jan 31, 1996",Spring 1989,Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,348.0,88,888982,32032,32608,772421,19285,23682,40986
Chicchana Yukitsukai Sugar,7.08,"Comedy, Fantasy, Slice of Life",TV,24,"Oct 2, 2001 to Mar 26, 2002",Fall 2001,J.C.Staff,Original,24 min. per ep.,PG - Children,3274.0,3645,20179,134,848,10890,1322,1778,5341
Ginsoukikou Ordian,5.78,"Mecha, Sci-Fi",TV,24,"Apr 4, 2000 to Sep 19, 2000",Spring 2000,Plum,Original,25 min. per ep.,R+ - Mild Nudity,8905.0,8447,2340,2,137,655,108,175,1265
Choujuushin Gravion,6.4,"Action, Comedy, Mecha, Sci-Fi, Shounen",TV,13,"Oct 7, 2002 to Dec 16, 2002",Fall 2002,Gonzo,Original,23 min. per ep.,PG-13 - Teens 13 or older,6402.0,4677,11360,20,516,5694,485,597,4068
Sister Princess: Re Pure,6.26,"Drama, Romance",TV,13,"Oct 4, 2002 to Dec 25, 2002",Fall 2002,Zexcs,Light novel,25 min. per ep.,PG-13 - Teens 13 or older,7058.0,5403,7846,13,295,3840,328,458,2925
Sister Princess,6.43,"Comedy, Drama, Harem, Romance, Slice of Life",TV,26,"Apr 4, 2001 to Sep 26, 2001",Spring 2001,Zexcs,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,6266.0,3576,20953,78,1359,9508,1116,1802,7168
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,6.07,"Drama, Seinen, Thriller",TV,13,"Jul 7, 2003 to Sep 29, 2003",Summer 2003,Planet,Manga,24 min. per ep.,R - 17+ (violence & profanity),7922.0,3036,29056,69,1291,10283,1061,1228,15193
Narue no Sekai,6.59,"Comedy, Romance, Sci-Fi",TV,12,"Apr 5, 2003 to Jun 28, 2003",Spring 2003,Studio Live,Manga,24 min. per ep.,PG-13 - Teens 13 or older,5403.0,4014,16213,26,697,8721,566,634,5595
Colorful,6.05,"Comedy, Ecchi, Slice of Life",TV,16,"Sep 6, 1999 to Sep 30, 1999",Summer 1999,"Triangle Staff, Studio Wombat",Manga,6 min. per ep.,R+ - Mild Nudity,8011.0,3571,21032,47,805,9700,627,1427,8473
Kiba,7.32,"Adventure, Fantasy, Shounen",TV,51,"Apr 2, 2006 to Mar 25, 2007",Spring 2006,Madhouse,Original,24 min. per ep.,PG-13 - Teens 13 or older,2253.0,1834,68142,465,4079,34807,4356,5085,19815
School Rumble Ni Gakki,8.03,"Comedy, Romance, School, Shounen",TV,26,"Apr 3, 2006 to Sep 25, 2006",Spring 2006,Studio Comet,Manga,24 min. per ep.,PG-13 - Teens 13 or older,499.0,1099,135499,793,3743,103198,3802,2719,22037
Suzumiya Haruhi no Yuuutsu,7.88,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,"Apr 3, 2006 to Jul 3, 2006",Spring 2006,Kyoto Animation,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,702.0,115,745062,15729,29640,490883,24161,20252,180126
Gakuen Heaven,6.55,"Harem, Comedy, Drama, Romance, School, Shounen Ai",TV,13,"Apr 1, 2006 to Jun 24, 2006",Spring 2006,Tokyo Kids,Visual novel,26 min. per ep.,PG-13 - Teens 13 or older,5618.0,2127,55034,203,2363,35192,2072,3557,11850
Gokinjo Monogatari,7.47,"Slice of Life, Comedy, Drama, Romance, Shoujo",TV,50,"Sep 10, 1995 to Sep 1, 1996",Fall 1995,Toei Animation,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1675.0,4299,13837,112,1207,3396,964,719,7551
Ouran Koukou Host Club,8.2,"Comedy, Harem, Romance, School, Shoujo",TV,26,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,Bones,Manga,23 min. per ep.,PG-13 - Teens 13 or older,305.0,102,827960,30919,35862,638636,26554,25175,101733
Soul Link,6.13,"Action, Adventure, Space, Comedy, Romance, Military, Sci-Fi",TV,12,"Apr 2, 2006 to Jun 25, 2006",Spring 2006,Picture Magic,Visual novel,25 min. per ep.,R - 17+ (violence & profanity),7639.0,3689,19648,21,852,9954,727,1369,6746
Strawberry Panic,7.31,"Drama, Romance, School, Shoujo Ai",TV,26,"Apr 4, 2006 to Sep 26, 2006",Spring 2006,"Madhouse, Imagin",Other,25 min. per ep.,PG-13 - Teens 13 or older,2285.0,1269,113097,1885,5893,58091,5851,7643,35619
Utawarerumono,7.67,"Action, Drama, Fantasy, Sci-Fi",TV,26,"Apr 4, 2006 to Sep 26, 2006",Spring 2006,OLM,Visual novel,23 min. per ep.,R - 17+ (violence & profanity),1103.0,1057,140221,1114,7442,71646,5791,5410,49932
Air Gear,7.53,"Action, Comedy, Ecchi, Shounen, Sports",TV,25,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,Toei Animation,Manga,24 min. per ep.,R+ - Mild Nudity,1469.0,474,298135,3694,11170,203281,10629,15024,58031
Gunparade Orchestra,5.92,"Drama, Mecha, Military, Romance, Sci-Fi, Slice of Life",TV,24,"Oct 4, 2005 to Mar 28, 2006",Fall 2005,Brain's Base,Game,25 min. per ep.,PG-13 - Teens 13 or older,8466.0,7067,4027,3,231,1339,219,384,1854
Digimon Savers,6.95,"Adventure, Comedy, Drama, Fantasy, Shounen",TV,48,"Apr 2, 2006 to Mar 25, 2007",Spring 2006,Toei Animation,Original,23 min. per ep.,PG - Children,3810.0,1800,71051,381,1833,54934,2420,4306,7558
Makai Senki Disgaea,6.76,"Action, Comedy, Demons, Fantasy, Magic",TV,12,"Apr 5, 2006 to Jun 21, 2006",Spring 2006,OLM,Game,24 min. per ep.,PG-13 - Teens 13 or older,4630.0,2575,39100,170,1439,23252,1741,2417,10251
xxxHOLiC,8.01,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,24,"Apr 7, 2006 to Sep 29, 2006",Spring 2006,Production I.G,Manga,24 min. per ep.,PG-13 - Teens 13 or older,527.0,583,249828,4137,13229,123257,13701,11633,88008
Joshikousei: Girl's High,6.58,"Comedy, Drama, Ecchi, School, Slice of Life",TV,12,"Apr 4, 2006 to Jun 20, 2006",Spring 2006,Arms,Manga,24 min. per ep.,PG-13 - Teens 13 or older,5484.0,2906,31305,63,1324,16242,1241,2050,10448
Kikou Senki Dragonar,6.7,"Sci-Fi, Adventure, Space, Mecha",TV,48,"Feb 7, 1987 to Jan 30, 1988",Winter 1987,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,4893.0,7034,4078,12,274,843,224,189,2548
Mahou Shoujo-tai Arusu,7.09,"Adventure, Comedy, Fantasy, Magic",TV,40,"Apr 9, 2004 to Mar 4, 2005",Spring 2004,Studio 4°C,Original,9 min. per ep.,PG-13 - Teens 13 or older,3267.0,3263,25235,76,1459,6380,1435,1249,14712
.hack//Roots,6.91,"Adventure, Drama, Fantasy, Game, Sci-Fi",TV,26,"Apr 6, 2006 to Sep 28, 2006",Spring 2006,Bee Train,Original,24 min. per ep.,PG-13 - Teens 13 or older,3982.0,1855,66696,283,2260,41609,2942,3552,16333
Digimon Tamers,7.62,"Adventure, Comedy, Drama, Fantasy, Shounen",TV,51,"Apr 1, 2001 to Mar 31, 2002",Spring 2001,Toei Animation,Original,25 min. per ep.,PG - Children,1223.0,927,160643,1669,3440,138566,3645,4124,10868
Street Fighter II V,7.07,"Action, Adventure, Drama, Mystery, Shounen",TV,29,"Apr 10, 1995 to Nov 27, 1995",Spring 1995,"Studio Hibari, Production Reed",Game,24 min. per ep.,PG-13 - Teens 13 or older,3333.0,3486,22065,111,795,15629,770,917,3954
Nana,8.46,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo",TV,47,"Apr 5, 2006 to Mar 28, 2007",Spring 2006,Madhouse,Manga,23 min. per ep.,R+ - Mild Nudity,120.0,328,403296,16944,26741,185800,22031,18693,150031
Zegapain,7.35,"Action, Mecha, Romance, Sci-Fi",TV,26,"Apr 6, 2006 to Sep 28, 2006",Spring 2006,Sunrise,Original,23 min. per ep.,PG-13 - Teens 13 or older,2112.0,3015,29544,168,1482,11824,1363,1599,13276
Simoun,7.46,"Military, Drama, Magic, Romance, Fantasy, Shoujo Ai",TV,26,"Apr 3, 2006 to Sep 25, 2006",Spring 2006,Studio Deen,Original,24 min. per ep.,PG-13 - Teens 13 or older,1713.0,2677,36303,432,1649,11791,1741,2115,19007
Aa! Megami-sama!: Sorezore no Tsubasa,7.58,"Comedy, Magic, Romance, Seinen, Supernatural",TV,22,"Apr 7, 2006 to Sep 15, 2006",Spring 2006,AIC,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1324.0,2056,57580,184,1604,43366,1616,1141,9853
Amaenaide yo!! Katsu!!,6.71,"Comedy, Ecchi, Harem, Romance, Supernatural",TV,12,"Jan 4, 2006 to Mar 22, 2006",Winter 2006,Studio Deen,Manga,24 min. per ep.,R+ - Mild Nudity,4843.0,2394,45037,46,1146,34316,910,1276,7389
Megami Kouhosei,6.4,"Action, Mecha, Military, Sci-Fi, Space",TV,12,"Jan 20, 2000 to Mar 27, 2000",Winter 2000,Xebec,Manga,24 min. per ep.,PG-13 - Teens 13 or older,6407.0,3724,19271,58,553,12496,726,1193,4303
Black Lagoon,8.05,"Action, Seinen",TV,12,"Apr 9, 2006 to Jun 25, 2006",Spring 2006,Madhouse,Manga,24 min. per ep.,R - 17+ (violence & profanity),475.0,133,704436,13626,31875,435287,23002,14918,199354
Yuusha-Ou GaoGaiGar,7.82,"Adventure, Mecha, Sci-Fi, Shounen",TV,49,"Feb 1, 1997 to Jan 31, 1998",Winter 1997,Sunrise,Original,25 min. per ep.,G - All Ages,803.0,3980,16588,301,993,5530,1068,723,8274
Princess Princess,7.02,"Comedy, Drama, School, Shoujo",TV,12,"Apr 6, 2006 to Jun 22, 2006",Spring 2006,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3561.0,2117,54983,274,2156,34487,2083,3098,13159
Geneshaft,6.38,"Adventure, Mecha, Sci-Fi, Space",TV,13,"Apr 5, 2001 to Jun 28, 2001",Spring 2001,Satelight,Original,23 min. per ep.,PG-13 - Teens 13 or older,6491.0,4544,11984,16,383,6224,479,678,4220
Himawari!,6.34,"Adventure, Comedy, Martial Arts",TV,13,"Apr 9, 2006 to Jul 2, 2006",Spring 2006,Arms,Original,24 min. per ep.,PG-13 - Teens 13 or older,6678.0,3537,21384,17,1029,8890,1165,1514,8786
Ninkuu,7.04,"Adventure, Shounen",TV,55,"Jan 14, 1995 to Feb 24, 1996",Winter 1995,Studio Pierrot,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3500.0,6541,4857,18,384,1144,470,453,2406
Kakutou Bijin Wulong,6.6,"Action, Ecchi, Martial Arts",TV,25,"Oct 10, 2005 to Mar 26, 2006",Fall 2005,TMS Entertainment,Manga,25 min. per ep.,R - 17+ (violence & profanity),5375.0,6519,4931,7,366,1513,323,457,2272
Ike! Ina-chuu Takkyuubu,7.56,"Comedy, Ecchi, School, Sports",TV,26,"Apr 6, 1995 to Sep 28, 1995",Spring 1995,Studio Hibari,Manga,24 min. per ep.,R+ - Mild Nudity,1389.0,4303,13775,131,908,4429,706,985,6747
Ginga Densetsu Weed,7.23,"Adventure, Drama, Shounen",TV,26,"Nov 3, 2005 to May 11, 2006",Fall 2005,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2649.0,4491,12450,270,441,8147,442,527,2893
Tokkou,6.58,"Action, Mystery, Comedy, Horror, Police, Supernatural, Seinen",TV,13,"Apr 16, 2006 to Jul 30, 2006",Spring 2006,"AIC Spirits, Group TAC",Manga,24 min. per ep.,R - 17+ (violence & profanity),5474.0,2538,40071,119,1347,24789,1151,1718,11066
Gintama,8.96,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,15.0,114,754607,48247,149543,230260,87145,39531,248128
Ray The Animation,6.65,"Drama, Romance, Sci-Fi",TV,13,"Apr 5, 2006 to Jun 28, 2006",Spring 2006,OLM,Manga,24 min. per ep.,PG-13 - Teens 13 or older,5147.0,4568,11834,14,584,4329,512,719,5690
Transformers: The☆Headmasters,6.45,"Action, Sci-Fi, Adventure, Space, Mecha, Shounen",TV,35,"Jul 3, 1987 to Mar 28, 1988",Summer 1987,Toei Animation,Other,23 min. per ep.,PG - Children,6197.0,7764,3076,6,139,1875,138,180,744
Transformers Galaxy Force,6.63,"Sci-Fi, Adventure, Mecha, Shounen",TV,52,"Jan 8, 2005 to Dec 31, 2005",Winter 2005,Gonzo,Other,24 min. per ep.,PG-13 - Teens 13 or older,5269.0,6632,4727,22,150,3439,133,276,729
Seisenshi Dunbine,7.05,"Action, Sci-Fi, Adventure, Drama, Fantasy, Mecha",TV,49,"Feb 5, 1983 to Jan 21, 1984",Winter 1983,Sunrise,Novel,24 min. per ep.,PG-13 - Teens 13 or older,3437.0,5187,8642,28,633,1866,478,392,5273
Densetsu Kyojin Ideon,6.98,"Sci-Fi, Space, Drama, Mecha",TV,39,"May 8, 1980 to Jan 30, 1981",Spring 1980,Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,3697.0,4610,11734,78,705,3036,596,340,7057
Higurashi no Naku Koro ni,7.95,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller",TV,26,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,Studio Deen,Visual novel,24 min. per ep.,R - 17+ (violence & profanity),610.0,156,638491,19393,39512,363708,33103,29836,172332
Witchblade,7.27,"Action, Sci-Fi, Super Power",TV,24,"Apr 6, 2006 to Sep 21, 2006",Spring 2006,Gonzo,Other,24 min. per ep.,R - 17+ (violence & profanity),2478.0,1425,97248,571,5192,51336,4803,5244,30673
Inukami!,7.27,"Comedy, Ecchi, Romance, Shounen, Supernatural",TV,26,"Apr 6, 2006 to Sep 28, 2006",Spring 2006,Seven Arcs,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,2502.0,1948,62619,229,2893,34041,2644,3456,19585
Renkin San-kyuu Magical? Pokaan,6.98,"Comedy, Ecchi, Magic, Parody, Vampire",TV,12,"Apr 4, 2006 to Jun 20, 2006",Spring 2006,Remic,Original,24 min. per ep.,R+ - Mild Nudity,3718.0,3153,27039,112,1565,10994,1115,1114,12251
Nishi no Yoki Majo: Astraea Testament,6.77,"Mystery, Comedy, Drama, Romance, Fantasy",TV,13,"Apr 8, 2006 to Jul 1, 2006",Spring 2006,Hal Film Maker,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,4560.0,4057,15842,46,843,6828,693,856,6622
Yume Tsukai,6.43,"Drama, Fantasy, Magic, Slice of Life",TV,12,"Apr 9, 2006 to Jun 25, 2006",Spring 2006,Madhouse,Manga,24 min. per ep.,PG - Children,6278.0,5450,7696,11,315,2812,408,620,3541
The Third: Aoi Hitomi no Shoujo,7.33,"Action, Adventure, Sci-Fi, Seinen",TV,24,"Apr 14, 2006 to Oct 27, 2006",Spring 2006,Xebec,Light novel,23 min. per ep.,R - 17+ (violence & profanity),2195.0,3741,18954,103,964,8610,1187,1094,7099
Chibi Maruko-chan,7.64,"Comedy, Slice of Life, Shoujo",TV,142,"Jan 7, 1990 to Sep 27, 1992",Winter 1990,Nippon Animation,Manga,24 min. per ep.,G - All Ages,1169.0,5059,9294,94,748,4545,897,1166,1938
Jyu Oh Sei,7.26,"Action, Sci-Fi, Adventure, Mystery, Drama, Shoujo",TV,11,"Apr 14, 2006 to Jun 23, 2006",Spring 2006,Bones,Manga,22 min. per ep.,R - 17+ (violence & profanity),2528.0,1947,62965,377,1898,36840,1618,1839,20770
Daikuu Maryuu Gaiking,6.68,"Adventure, Mecha, Sci-Fi, Shounen",TV,44,"Apr 1, 1976 to Jan 27, 1977",Spring 1976,Toei Animation,Original,24 min. per ep.,PG-13 - Teens 13 or older,4988.0,9054,1853,4,96,663,89,134,871
Saiunkoku Monogatari,7.94,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",TV,39,"Apr 8, 2006 to Feb 24, 2007",Spring 2006,Madhouse,Light novel,25 min. per ep.,PG-13 - Teens 13 or older,623.0,1677,79685,1186,5702,35803,5003,3975,29202
